Majority protein IDs,R1-L,R1-M,R1-H,R2-L,R2-M,R2-H,R3-L,R3-M,R3-H,R4-L,R4-M,R4-H
A0AV96-2;A0AV96;D6R9D6;B7Z8Z7;D6RBS9;D6REZ6,6424900000,6120200000,6484200000,9227500000,8371800000,8529800000,7130900000,7004100000,7101500000,7242700000,6860700000,8677900000
A0AVK6;E9PMT9,411740000,413140000,177160000,111810000,113860000,57884000,344230000,477660000,407340000,NaN,NaN,NaN
A0AVT1;A0AVT1-2,33255000000,34146000000,29990000000,26461000000,26396000000,23590000000,32985000000,33980000000,27555000000,29437000000,32677000000,27755000000
H7BXI1;A0FGR8-2;A0FGR8;A0FGR8-6,639430000,1076900000,401680000,675320000,806610000,362700000,713610000,1193200000,460680000,391290000,390280000,201300000
J3KR33;A0JLT2,74914000,109260000,100200000,115300000,151200000,144570000,91884000,187140000,174770000,NaN,NaN,NaN
A0JNW5,245440000,279440000,188720000,274050000,366710000,178810000,71883000,83546000,46249000,357230000,360590000,112810000
A0MZ66;A0MZ66-5;A0MZ66-6;A0MZ66-3;A0MZ66-4;A0MZ66-8;A0MZ66-2,12290000000,14751000000,13970000000,13057000000,11563000000,10362000000,21400000000,14518000000,12128000000,17812000000,12996000000,16254000000
A1A4S6;E7EUW5;H0Y8W5,290050000,259160000,322700000,487840000,341400000,142060000,742410000,526670000,268460000,1279300000,443390000,7191600000
A1A5A9;Q9Y2K2-3;A1A5A8;H0Y494;Q9Y2K2;J3KPC8;H0Y4E8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1KXE4-2;A1KXE4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1L020,400070000,295520000,289890000,273740000,300930000,310040000,166230000,180200000,292960000,53762000,65373000,73754000
A1L0T0;M0R026,5025100000,8161600000,3675100000,6471800000,7569100000,3440400000,6752300000,8491100000,3003800000,7281700000,5928800000,3003600000
A1L170;A1L170-2,39335000,47551000,49327000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1L188,68400000,59701000,62334000,47616000,38560000,50509000,54625000,66326000,37171000,52739000,39371000,71362000
A1L390-3;A1L390;G3V311;A1L390-2,248980000,273840000,255390000,145130000,167020000,149410000,190860000,208410000,204910000,169120000,189710000,216140000
G3V144;A1X283,45218000,60732000,77120000,20848000,49846000,49141000,225290000,271450000,223090000,79554000,146690000,156840000
A1YPR0,94013000,74711000,48216000,91344000,95172000,44402000,151940000,128470000,96861000,14166000,17577000,14249000
Q99798;A2A274,42217000000,40901000000,58388000000,39583000000,42101000000,60051000000,30518000000,40593000000,46093000000,45348000000,38881000000,65838000000
Q9Y672;A2A2G4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9Y312;A2A2Q9,1950300000,2209600000,1730900000,1235300000,1187800000,873230000,1548000000,1548800000,1308400000,1573600000,1432500000,1477400000
A2A3R5,NaN,NaN,NaN,30023000,17784000,23094000,NaN,NaN,NaN,NaN,NaN,NaN
O15533-2;O15533;D3YTI9;A2AB90;O15533-3;C9JA35;O15533-4,339200000,385840000,274440000,268320000,288750000,270970000,224990000,287330000,218530000,NaN,NaN,NaN
B0UZY0;A2ABF8;B0UZY1;A2ABF9,67632000,80087000,121080000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P10321;A2AEA2;F5GXA6;Q29963;B0UY12;B0UY14;B0UY15;B0S7Z4;P30508;B0S7Z5;B0S7Z6;Q29960-2;P30480;P30460;P30501;Q29960;Q07000;P30505,249390000,341300000,206010000,636620000,876110000,428580000,709730000,934540000,470330000,557100000,499780000,304510000
A2AJT9-3;A2AJT9-2;A2AJT9,17529000,43291000,36614000,536640000,566930000,451470000,306640000,387590000,268330000,295410000,250910000,161260000
A2BFH1,NaN,NaN,NaN,153890000,98421000,79753000,7824600,40646000,12507000,NaN,NaN,NaN
A2IDA3;P29372-5;P29372-4;P29372-2;P29372,1455000000,1637900000,1185600000,1320900000,1485500000,1086800000,1906400000,2095100000,1339900000,1805300000,1629000000,1471000000
M0R1K6;M0QZA2;M0R2Z6;M0R2L4;M0R2N3;M0QX96;A2RRD8;Q96IR2;M0R0Z8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2RRM7,57688000,87466000,82261000,251540000,157520000,183870000,112810000,146450000,205520000,122760000,36401000,59250000
